language,code,family,true_value,true_upper_limit,sim_upper_limit,lower_limit,mean
Winnebagoe,winn1245,Other,0,0,0,0,0
Wipi,wipi1242,Other,0,0,0,0,0
Wiradjuri,wira1262,Pama-Nyungan,0.9183,0.9183,0.44197,0.10917,0.19505135
Wirangu,wira1265,Pama-Nyungan,1.52193,1.52193,0.88852,0.28048,0.47096396
Wiwirano,wiwi1237,Austronesian,0,0,0,0,0
Wiyot,wiyo1248,Algic,0,0,0,0,0
Wogeo,woge1237,Austronesian,0,0,0,0,0
Woiwurrung,woiw1237,Pama-Nyungan,0,0,0,0,0
Woleaian,wole1240,Austronesian,0,0,0,0,0
Wolio,woli1241,Austronesian,0,0,0,0,0
Woods_Cree_(Cree_of_the_Woods),wood1236,Algic,0,0,0,0,0
Wulguru,wulg1239,Pama-Nyungan,0.9183,0.9183,0.48379,0.0954,0.19357949
Wuvulu_Aua,wuvu1239,Austronesian,0,0.32727,0.32727,0,0.05789125
Wyandote,wyan1247,Other,0,0,0,0,0
Xalangi_(Maevo_Vanuatu),mari1426h,Austronesian,0.37124,0.37124,0.35167,0.00471,0.11145964
Xaracuu_(Canala),xara1244,Austronesian,0,0,0,0,0
Xibe,xibe1242,Other,1.58219,1.58219,1.25858,0.44487,0.77761678
Yabem,yabe1254,Austronesian,1.25134,1.25134,0.96076,0.12338,0.45815085
Yadhaykenu,yadh1237,Pama-Nyungan,0,0,0,0,0
Yaka_CAR_,yaka1272,Atlantic-Congo,0.33158,0.42217,0.42217,0.04953,0.14218987
Yaka_Pelende_Lonzo,yaka1269,Atlantic-Congo,1.20282,1.20282,0.65775,0.063,0.27970056
Yakama,yaki1237,Other,0,0,0,0,0
Yakan,yaka1277,Austronesian,0.88654,0.88654,0.2936,0.03774,0.08385126
Yalarnnga,yala1262,Pama-Nyungan,0.9183,0.9183,0.47652,0.00276,0.161148375
Yalarnnga,yala1262a,Pama-Nyungan,0.67147,0.9183,0.47652,0.00276,0.161148375
Yale,kosa1249,Other,0,0,0,0,0
Yalic,yali1257,Other,0,0,0,0,0
Yamana,yama1264,Other,0.9183,0.9183,0.42848,0.10917,0.19679458
Yami_Tao_,yami1254,Austronesian,0.95854,0.95854,0.59868,0.00593,0.15824947
Yandruwandha,yand1253,Pama-Nyungan,1.15564,1.15564,0.84598,0,0.147474545
Yandruwandha,yand1253a,Pama-Nyungan,0,1.15564,0.84598,0,0.147474545
Yanomámi,yano1262,Other,0,0,0,0,0
Yansi,yans1239,Atlantic-Congo,0.32193,0.32193,0.32193,0,0.22481151000000002
Yanyuwa,yany1243,Pama-Nyungan,1,1,0.63517,0.09314,0.29065608
Yaqui,yaqu1251,Uto-Aztecan,0,0,0,0,0
Yarluyandi,ngam1265,Pama-Nyungan,1,1,0.51318,0.09314,0.22111348
Yavitero,yavi1244,Arawakan,0,0,0,0,0
Yawa,nucl1454,Other,0.58428,0.7725,0.7725,0.0373,0.26491406
Yele_(Yélî_Dnye),yele1255,Other,1.28114,1.28114,0.68523,0.10024,0.35842956
Yelmek,yelm1242,Other,0,0,0,0,0
Yerukula,yeru1240,Dravidian,0,0,0,0,0
Yidiny,yidi1250,Pama-Nyungan,1,1,0.51318,0,0.11126765
Yidiny,yidi1250a,Pama-Nyungan,0,1,0.51318,0,0.11126765
Yindjibarndi,yind1247,Pama-Nyungan,1,1,0.75334,0.17379,0.37495654
Yir-Yoront,yiry1245,Pama-Nyungan,0.94566,0.97353,0.97353,0.15547,0.42027380000000003
Yombe,yomb1244,Atlantic-Congo,1.52193,1.52193,0.91519,0.2392,0.55164985
Yorta_Yorta,yort1237,Pama-Nyungan,0,0,0,0,0
Yucatec_Maya,yuca1254,Other,0.88129,0.94969,0.94969,0.23031,0.43639576
Yugambal_(Yugambeh),yuga1244,Pama-Nyungan,0.99252,0.99252,0.62404,0.11289,0.28948052
Yugambeh,yugu1249,Pama-Nyungan,0.9183,0.9183,0.47445,0.17686,0.25198489
Yukulta_(Ganggalida),gang1267a,Other,0.98627,0.98627,0.95724,0.21113,0.55390037
Yulparija,yulp1239,Pama-Nyungan,1,1,0.86,0.10569,0.28828559
Yuracare,yura1255,Other,0,0,0,0,0
Yurok,yuro1248,Algic,0.9183,0.9183,0.84021,0.14397,0.34154701
Yuwaalaraay,gami1243,Pama-Nyungan,1.15564,1.15564,0.81896,0.18396,0.37634935
Zabana_(Kia),zaba1237,Austronesian,0,0,0,0,0
Zigula,zigu1242,Atlantic-Congo,1,1,0.39795,0.04879,0.18907432
Zinza,zinz1238,Atlantic-Congo,0,0,0,0,0
Zulu,zulu1248,Atlantic-Congo,1.19151,1.19151,0.66214,0.13568,0.33327137
Zuni,zuni1245,Other,0,0,0,0,0
