simulation_number,mutual_information,entropy,conditional_entropy,meZ,feZ,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,meB,myZ,feB,fyZ,mMZS,mMeZS,mMyZS,mMZeS,mMZyS,fMZS,fMeZS,fMyZS,fMZyS,myB,fyB,mF,mM,mFB,mFZ,mFyB,mFeB,mFeZ,mFyZ,fF,fM,fFB,fFZ,fFyB,fFeB,fFeZ,fFyZ,mMB,mMZ,mMeZ,mMyZ,mMeB,mMyB,fMB,fMZ,fMeZ,fMyZ,fMeB,fMyB
10,0.4825879551000358,1.8624667330818485,1.3798787779818127,caceri bahan,phupheri bahan,mɔsera bhai,phuphera bhai,choṭā bhāī,mameri bahan,mɔseri bahan,phuphera bhai,mɔseri bahan,choṭī bhan,phuphera bhai,mɔsera bhai,caceri bahan,mɔsera bhai,mɔseri bahan,cacera bhai,mameri bahan,bhāī,mameri bahan,dīdī,mamera bhai,phuphera bhai,cacera bhai,caceri bahan,cacera bhai,cacera bhai,cacera bhai,bahan,bahan,dīdī,mamera bhai,mɔseri bahan,phupheri bahan,phuphera bhai,mɔsera bhai,cacera bhai,mɔsera bhai,mɔseri bahan,phupheri bahan,mɔseri bahan,mɔsera bhai,mamera bhai,mɔseri bahan,mɔseri bahan,caceri bahan,mamera bhai,phupheri bahan,phupheri bahan,mameri bahan,phuphera bhai,mameri bahan,caceri bahan,choṭī bhan,mameri bahan,mɔseri bahan,phupheri bahan,cacera bhai,mamera bhai,mamera bhai,mamera bhai,caceri bahan,phuphera bhai,mɔsera bhai,mɔsera bhai,phupheri bahan,phuphera bhai,mameri bahan,phuphera bhai,caceri bahan,baṛa bhai,mameri bahan,phupheri bahan,mamera bhai,cacera bhai,caceri bahan,choṭā bhāī,mameri bahan,mɔseri bahan,caceri bahan,cacera bhai,mamera bhai,phuphera bhai,mameri bahan,mɔsera bhai,phupheri bahan,bhāī,mamera bhai,phupheri bahan,baṛa bhai,cacera bhai,māmā,bāp,bāp,mausī,buā,buā,tāū,māmā,māmā,buā,mātā,māmā,mausī,mausī,cācā,māmā,mātā,tāū,buā,buā,tāū,buā,tāū,māmā,mausī,cācā,mausī,mausī
11,0.5398817690956137,1.8258633747045665,1.2859816056089528,baṛa bhai,mɔseri bahan,choṭā bhāī,mamera bhai,mɔsera bhai,phuphera bhai,mameri bahan,mɔseri bahan,phuphera bhai,caceri bahan,caceri bahan,phuphera bhai,phuphera bhai,cacera bhai,phupheri bahan,mɔsera bhai,caceri bahan,cacera bhai,cacera bhai,cacera bhai,mameri bahan,cacera bhai,phupheri bahan,caceri bahan,caceri bahan,phuphera bhai,mɔseri bahan,mɔsera bhai,cacera bhai,mameri bahan,phuphera bhai,mɔseri bahan,phupheri bahan,phupheri bahan,mameri bahan,mameri bahan,mɔseri bahan,phuphera bhai,mamera bhai,mamera bhai,mameri bahan,mamera bhai,bahan,baṛa bhai,choṭī bhan,caceri bahan,phuphera bhai,phuphera bhai,mamera bhai,mɔseri bahan,phupheri bahan,mameri bahan,mamera bhai,cacera bhai,caceri bahan,cacera bhai,phupheri bahan,bhāī,mamera bhai,cacera bhai,phupheri bahan,dīdī,dīdī,phupheri bahan,mameri bahan,mamera bhai,mɔsera bhai,cacera bhai,mɔseri bahan,mamera bhai,mɔsera bhai,phupheri bahan,mɔsera bhai,mɔsera bhai,mɔseri bahan,mameri bahan,mamera bhai,bhāī,phupheri bahan,mɔsera bhai,caceri bahan,bahan,mameri bahan,caceri bahan,choṭī bhan,phuphera bhai,choṭā bhāī,mɔsera bhai,mɔseri bahan,mɔseri bahan,mātā,tāū,tāū,buā,māmā,mausī,bāp,buā,māmā,māmā,mausī,buā,buā,buā,mausī,bāp,mātā,buā,mausī,cācā,mausī,tāū,māmā,tāū,cācā,māmā,māmā,mausī
12,0.44560764894019633,1.8360488508142765,1.3904412018740802,mɔseri bahan,phuphera bhai,cacera bhai,cacera bhai,bhāī,mɔsera bhai,phuphera bhai,mamera bhai,phupheri bahan,phupheri bahan,caceri bahan,phuphera bhai,mamera bhai,mamera bhai,phupheri bahan,mameri bahan,mɔsera bhai,phuphera bhai,phuphera bhai,mɔsera bhai,mameri bahan,bhāī,bahan,mamera bhai,mameri bahan,phuphera bhai,phupheri bahan,mɔsera bhai,mamera bhai,mɔseri bahan,mɔsera bhai,mameri bahan,dīdī,cacera bhai,phuphera bhai,choṭī bhan,cacera bhai,cacera bhai,caceri bahan,mɔseri bahan,mɔseri bahan,mamera bhai,phuphera bhai,mɔseri bahan,cacera bhai,phupheri bahan,mɔseri bahan,caceri bahan,cacera bhai,cacera bhai,phupheri bahan,mɔseri bahan,mamera bhai,caceri bahan,mɔseri bahan,mameri bahan,mɔseri bahan,mameri bahan,baṛa bhai,mamera bhai,mɔsera bhai,bahan,mameri bahan,mɔsera bhai,mameri bahan,mameri bahan,mɔseri bahan,phupheri bahan,mamera bhai,phuphera bhai,caceri bahan,caceri bahan,baṛa bhai,phupheri bahan,phupheri bahan,dīdī,mameri bahan,caceri bahan,cacera bhai,mamera bhai,phupheri bahan,choṭā bhāī,mɔsera bhai,cacera bhai,phuphera bhai,choṭī bhan,caceri bahan,choṭā bhāī,caceri bahan,mɔsera bhai,buā,māmā,mausī,mausī,mausī,mausī,māmā,māmā,buā,cācā,tāū,cācā,buā,buā,buā,bāp,buā,tāū,māmā,tāū,tāū,māmā,mausī,mātā,māmā,mātā,mausī,bāp
13,0.4743473432481631,1.8901220974539563,1.4157747542057932,phuphera bhai,phuphera bhai,mɔsera bhai,choṭā bhāī,bahan,mɔseri bahan,mameri bahan,mameri bahan,caceri bahan,mameri bahan,phuphera bhai,caceri bahan,mɔsera bhai,mɔseri bahan,mɔsera bhai,mɔsera bhai,mameri bahan,mamera bhai,phupheri bahan,phupheri bahan,caceri bahan,mameri bahan,mɔseri bahan,caceri bahan,phuphera bhai,mɔsera bhai,phupheri bahan,caceri bahan,mamera bhai,caceri bahan,cacera bhai,mamera bhai,mɔseri bahan,cacera bhai,mameri bahan,phupheri bahan,mameri bahan,dīdī,mɔseri bahan,mameri bahan,phuphera bhai,caceri bahan,mamera bhai,bhāī,mamera bhai,mɔsera bhai,choṭī bhan,mɔsera bhai,phupheri bahan,bahan,cacera bhai,mamera bhai,mɔseri bahan,mamera bhai,phupheri bahan,cacera bhai,phuphera bhai,caceri bahan,mameri bahan,caceri bahan,baṛa bhai,mameri bahan,mɔseri bahan,choṭā bhāī,mamera bhai,phupheri bahan,phuphera bhai,phupheri bahan,phupheri bahan,dīdī,cacera bhai,mɔseri bahan,mɔseri bahan,mɔsera bhai,cacera bhai,mamera bhai,baṛa bhai,cacera bhai,cacera bhai,mɔseri bahan,mɔsera bhai,cacera bhai,phuphera bhai,phuphera bhai,mamera bhai,choṭī bhan,phuphera bhai,bhāī,cacera bhai,phupheri bahan,mausī,cācā,māmā,buā,mausī,māmā,buā,mausī,buā,mausī,tāū,mātā,māmā,tāū,māmā,mātā,mausī,cācā,buā,tāū,buā,māmā,bāp,bāp,buā,mausī,tāū,māmā
14,0.4868644268069051,1.7561303808404871,1.269265954033582,mameri bahan,phupheri bahan,mɔsera bhai,phuphera bhai,phuphera bhai,phupheri bahan,cacera bhai,cacera bhai,phuphera bhai,mamera bhai,cacera bhai,mamera bhai,mameri bahan,mɔseri bahan,mameri bahan,mamera bhai,mamera bhai,phupheri bahan,cacera bhai,choṭī bhan,cacera bhai,mɔseri bahan,bhāī,phuphera bhai,caceri bahan,choṭā bhāī,mameri bahan,bahan,mɔsera bhai,mameri bahan,phupheri bahan,caceri bahan,caceri bahan,baṛa bhai,phupheri bahan,phupheri bahan,choṭī bhan,phupheri bahan,caceri bahan,mɔsera bhai,phupheri bahan,mamera bhai,phupheri bahan,mɔsera bhai,mɔseri bahan,mɔseri bahan,dīdī,mamera bhai,mameri bahan,bhāī,mɔseri bahan,mamera bhai,choṭā bhāī,mɔseri bahan,mamera bhai,phupheri bahan,mameri bahan,phuphera bhai,caceri bahan,mamera bhai,phuphera bhai,cacera bhai,bahan,mɔsera bhai,cacera bhai,mɔsera bhai,mɔsera bhai,mɔseri bahan,dīdī,caceri bahan,caceri bahan,cacera bhai,mɔsera bhai,phuphera bhai,phuphera bhai,mameri bahan,phuphera bhai,mameri bahan,mamera bhai,mɔseri bahan,mɔseri bahan,caceri bahan,mɔseri bahan,cacera bhai,caceri bahan,mameri bahan,phuphera bhai,baṛa bhai,mɔsera bhai,cacera bhai,mausī,māmā,māmā,mausī,buā,bāp,mātā,tāū,tāū,buā,mātā,māmā,tāū,bāp,buā,māmā,mausī,mausī,cācā,māmā,buā,mausī,māmā,buā,cācā,tāū,mausī,buā
15,0.48304018002154425,1.801266104682251,1.3182259246607066,caceri bahan,caceri bahan,phuphera bhai,phuphera bhai,choṭā bhāī,mameri bahan,mɔsera bhai,phuphera bhai,phupheri bahan,mɔseri bahan,cacera bhai,mɔseri bahan,mamera bhai,cacera bhai,mamera bhai,phuphera bhai,mameri bahan,choṭī bhan,phupheri bahan,mameri bahan,cacera bhai,dīdī,mɔsera bhai,bhāī,phupheri bahan,mamera bhai,phuphera bhai,cacera bhai,cacera bhai,cacera bhai,phuphera bhai,caceri bahan,mameri bahan,bhāī,phupheri bahan,phupheri bahan,baṛa bhai,phupheri bahan,mameri bahan,mɔseri bahan,bahan,phupheri bahan,caceri bahan,mɔsera bhai,mameri bahan,mameri bahan,mɔseri bahan,mɔseri bahan,mɔsera bhai,mameri bahan,mɔseri bahan,bahan,phuphera bhai,cacera bhai,mamera bhai,phuphera bhai,cacera bhai,caceri bahan,dīdī,phupheri bahan,mɔsera bhai,phupheri bahan,phupheri bahan,phuphera bhai,mɔseri bahan,mɔsera bhai,mɔsera bhai,cacera bhai,mameri bahan,mamera bhai,mamera bhai,mɔsera bhai,mamera bhai,mɔseri bahan,choṭā bhāī,phuphera bhai,mɔsera bhai,caceri bahan,choṭī bhan,caceri bahan,baṛa bhai,mamera bhai,mamera bhai,mɔseri bahan,caceri bahan,cacera bhai,mameri bahan,mɔseri bahan,mamera bhai,caceri bahan,buā,mātā,māmā,māmā,tāū,māmā,buā,mausī,buā,mausī,buā,buā,mausī,bāp,cācā,tāū,mātā,buā,bāp,cācā,māmā,mausī,mausī,tāū,māmā,māmā,tāū,mausī
16,0.49941540099200044,1.8386697179659737,1.3392543169739732,mameri bahan,mɔsera bhai,cacera bhai,mɔsera bhai,cacera bhai,bahan,mameri bahan,caceri bahan,phupheri bahan,mɔseri bahan,mameri bahan,caceri bahan,dīdī,mɔsera bhai,mamera bhai,dīdī,phuphera bhai,phuphera bhai,bhāī,mɔsera bhai,mamera bhai,caceri bahan,mamera bhai,phupheri bahan,mɔseri bahan,cacera bhai,phupheri bahan,mɔseri bahan,mɔseri bahan,phupheri bahan,phupheri bahan,mamera bhai,mamera bhai,mameri bahan,caceri bahan,cacera bhai,caceri bahan,bahan,cacera bhai,mameri bahan,mɔseri bahan,phuphera bhai,phupheri bahan,mɔsera bhai,cacera bhai,phuphera bhai,mɔseri bahan,mɔseri bahan,phupheri bahan,mɔsera bhai,mamera bhai,cacera bhai,mamera bhai,baṛa bhai,phuphera bhai,caceri bahan,phupheri bahan,mamera bhai,phupheri bahan,cacera bhai,mamera bhai,mɔseri bahan,cacera bhai,mameri bahan,baṛa bhai,choṭā bhāī,mɔsera bhai,choṭā bhāī,mɔseri bahan,bhāī,phupheri bahan,choṭī bhan,mameri bahan,phuphera bhai,mamera bhai,phuphera bhai,cacera bhai,caceri bahan,phuphera bhai,mameri bahan,caceri bahan,caceri bahan,mɔsera bhai,mɔsera bhai,phuphera bhai,mameri bahan,mameri bahan,mɔseri bahan,choṭī bhan,phuphera bhai,māmā,mausī,cācā,cācā,mausī,mausī,māmā,buā,buā,māmā,tāū,bāp,buā,mausī,buā,mausī,māmā,buā,tāū,mātā,bāp,tāū,māmā,buā,tāū,māmā,mausī,mātā
17,0.41627928639718337,1.866579566115414,1.4503002797182307,mameri bahan,phupheri bahan,baṛa bhai,mɔseri bahan,bahan,mɔseri bahan,phuphera bhai,caceri bahan,phuphera bhai,mɔsera bhai,mɔseri bahan,caceri bahan,mɔsera bhai,mamera bhai,choṭī bhan,phupheri bahan,mamera bhai,mɔseri bahan,mameri bahan,mameri bahan,phupheri bahan,dīdī,caceri bahan,mɔseri bahan,cacera bhai,mamera bhai,mamera bhai,cacera bhai,mamera bhai,caceri bahan,phupheri bahan,phupheri bahan,phuphera bhai,phuphera bhai,cacera bhai,mɔsera bhai,mameri bahan,cacera bhai,cacera bhai,bahan,cacera bhai,phuphera bhai,dīdī,choṭī bhan,phuphera bhai,mɔseri bahan,phupheri bahan,mameri bahan,mɔsera bhai,cacera bhai,phupheri bahan,cacera bhai,mɔseri bahan,bhāī,mɔsera bhai,mamera bhai,phuphera bhai,phuphera bhai,mamera bhai,mɔseri bahan,bhāī,mɔseri bahan,mɔseri bahan,phuphera bhai,mameri bahan,mameri bahan,caceri bahan,mɔsera bhai,mameri bahan,mameri bahan,baṛa bhai,cacera bhai,mɔsera bhai,caceri bahan,caceri bahan,caceri bahan,phupheri bahan,phupheri bahan,mamera bhai,mameri bahan,mɔsera bhai,phuphera bhai,cacera bhai,choṭā bhāī,choṭā bhāī,mɔsera bhai,phupheri bahan,mamera bhai,mamera bhai,caceri bahan,bāp,cācā,buā,tāū,buā,māmā,mausī,mausī,mātā,buā,tāū,bāp,buā,cācā,mātā,mausī,māmā,mausī,tāū,māmā,mausī,mausī,buā,tāū,māmā,buā,māmā,māmā
18,0.4448578936467207,1.7704704987761382,1.3256126051294175,caceri bahan,mɔseri bahan,mameri bahan,bahan,cacera bhai,cacera bhai,mameri bahan,mamera bhai,dīdī,caceri bahan,caceri bahan,mameri bahan,mɔseri bahan,phupheri bahan,mamera bhai,cacera bhai,baṛa bhai,mɔsera bhai,phupheri bahan,mamera bhai,mɔsera bhai,mɔsera bhai,mamera bhai,mameri bahan,cacera bhai,mamera bhai,caceri bahan,phuphera bhai,mameri bahan,mɔsera bhai,phuphera bhai,mɔsera bhai,bhāī,mɔseri bahan,mameri bahan,mɔsera bhai,mameri bahan,mamera bhai,phupheri bahan,mɔsera bhai,mamera bhai,mɔseri bahan,mɔseri bahan,phuphera bhai,cacera bhai,mɔseri bahan,phupheri bahan,mɔseri bahan,dīdī,phuphera bhai,bhāī,phupheri bahan,mameri bahan,caceri bahan,phupheri bahan,phuphera bhai,phupheri bahan,baṛa bhai,phuphera bhai,cacera bhai,choṭā bhāī,caceri bahan,mɔsera bhai,choṭī bhan,mameri bahan,phupheri bahan,mameri bahan,choṭā bhāī,mamera bhai,caceri bahan,mamera bhai,caceri bahan,cacera bhai,cacera bhai,phuphera bhai,phuphera bhai,mɔseri bahan,phuphera bhai,mɔseri bahan,phuphera bhai,mamera bhai,cacera bhai,phupheri bahan,phupheri bahan,mɔseri bahan,bahan,mɔsera bhai,cacera bhai,choṭī bhan,caceri bahan,tāū,buā,buā,mausī,mausī,māmā,mausī,māmā,mausī,mausī,tāū,buā,mātā,buā,buā,māmā,buā,tāū,mātā,māmā,bāp,māmā,māmā,bāp,tāū,mausī,cācā,cācā
19,0.4761618306598294,1.7272629194982343,1.2511010888384049,cacera bhai,mamera bhai,mɔsera bhai,phupheri bahan,cacera bhai,phupheri bahan,mameri bahan,baṛa bhai,phuphera bhai,mamera bhai,caceri bahan,caceri bahan,cacera bhai,mɔseri bahan,mameri bahan,mameri bahan,mameri bahan,mamera bhai,baṛa bhai,mameri bahan,phupheri bahan,dīdī,phupheri bahan,cacera bhai,phupheri bahan,mɔsera bhai,phupheri bahan,phuphera bhai,caceri bahan,mamera bhai,phuphera bhai,mɔsera bhai,phuphera bhai,mɔsera bhai,mamera bhai,choṭī bhan,phupheri bahan,phupheri bahan,mamera bhai,choṭā bhāī,mɔseri bahan,mameri bahan,caceri bahan,mameri bahan,cacera bhai,phuphera bhai,caceri bahan,mɔsera bhai,caceri bahan,mɔseri bahan,mɔseri bahan,mɔseri bahan,mɔsera bhai,mamera bhai,caceri bahan,mamera bhai,phuphera bhai,bahan,bhāī,dīdī,mamera bhai,bhāī,caceri bahan,cacera bhai,mameri bahan,cacera bhai,mɔseri bahan,cacera bhai,bahan,choṭī bhan,phuphera bhai,mɔseri bahan,phupheri bahan,cacera bhai,phupheri bahan,phuphera bhai,mɔseri bahan,mameri bahan,phuphera bhai,phuphera bhai,choṭā bhāī,mɔsera bhai,mɔsera bhai,cacera bhai,mɔseri bahan,mɔsera bhai,mɔseri bahan,mameri bahan,mamera bhai,caceri bahan,mausī,māmā,mausī,buā,māmā,tāū,buā,buā,māmā,tāū,tāū,māmā,cācā,mātā,buā,mausī,mausī,buā,mātā,māmā,buā,bāp,māmā,mausī,bāp,tāū,cācā,mausī
20,0.5479788470839733,1.8321472216771189,1.2841683745931456,phuphera bhai,mɔsera bhai,phupheri bahan,mameri bahan,phuphera bhai,phupheri bahan,mameri bahan,cacera bhai,mameri bahan,cacera bhai,mɔsera bhai,phupheri bahan,mamera bhai,choṭā bhāī,choṭā bhāī,phuphera bhai,mameri bahan,cacera bhai,phuphera bhai,caceri bahan,caceri bahan,mameri bahan,caceri bahan,phupheri bahan,mamera bhai,cacera bhai,mɔseri bahan,phupheri bahan,cacera bhai,caceri bahan,cacera bhai,caceri bahan,phupheri bahan,baṛa bhai,cacera bhai,bahan,mameri bahan,bhāī,mameri bahan,cacera bhai,bahan,mɔseri bahan,mɔsera bhai,bhāī,phuphera bhai,mamera bhai,phuphera bhai,cacera bhai,dīdī,mamera bhai,caceri bahan,mɔsera bhai,mɔsera bhai,mamera bhai,caceri bahan,mɔsera bhai,dīdī,mameri bahan,choṭī bhan,baṛa bhai,mɔseri bahan,mamera bhai,cacera bhai,mɔseri bahan,phuphera bhai,mamera bhai,caceri bahan,mɔseri bahan,mɔseri bahan,phupheri bahan,mɔseri bahan,mɔsera bhai,mameri bahan,phuphera bhai,mɔseri bahan,mɔsera bhai,phupheri bahan,mɔseri bahan,caceri bahan,phuphera bhai,mamera bhai,phupheri bahan,choṭī bhan,phupheri bahan,mɔseri bahan,mamera bhai,mameri bahan,mamera bhai,mɔsera bhai,phuphera bhai,mātā,buā,buā,mātā,cācā,māmā,bāp,buā,mausī,mausī,buā,mausī,māmā,bāp,māmā,buā,cācā,tāū,tāū,māmā,tāū,mausī,māmā,buā,māmā,mausī,tāū,mausī
21,0.49592265676488534,1.8676687488163968,1.3717460920515114,mameri bahan,dīdī,mɔseri bahan,choṭī bhan,mɔsera bhai,baṛa bhai,caceri bahan,mameri bahan,phuphera bhai,mɔsera bhai,phuphera bhai,phuphera bhai,mamera bhai,mameri bahan,phuphera bhai,cacera bhai,choṭī bhan,mɔseri bahan,bahan,phupheri bahan,cacera bhai,choṭā bhāī,mamera bhai,mamera bhai,baṛa bhai,mɔsera bhai,caceri bahan,mamera bhai,mɔsera bhai,phupheri bahan,caceri bahan,mɔseri bahan,caceri bahan,phupheri bahan,dīdī,choṭā bhāī,cacera bhai,cacera bhai,phupheri bahan,phupheri bahan,mɔsera bhai,cacera bhai,bhāī,mameri bahan,mɔsera bhai,phuphera bhai,cacera bhai,mɔsera bhai,mɔsera bhai,phupheri bahan,caceri bahan,cacera bhai,phupheri bahan,phupheri bahan,mameri bahan,phuphera bhai,phuphera bhai,cacera bhai,mamera bhai,phuphera bhai,mameri bahan,mamera bhai,phupheri bahan,mameri bahan,caceri bahan,mɔseri bahan,mamera bhai,mɔseri bahan,mameri bahan,mɔseri bahan,caceri bahan,mɔseri bahan,bahan,phuphera bhai,mɔsera bhai,caceri bahan,bhāī,mɔseri bahan,cacera bhai,phuphera bhai,mamera bhai,mɔseri bahan,mameri bahan,mameri bahan,caceri bahan,phupheri bahan,mamera bhai,cacera bhai,mamera bhai,mɔseri bahan,māmā,buā,māmā,mausī,buā,mātā,mausī,mausī,buā,bāp,cācā,māmā,māmā,māmā,tāū,mausī,tāū,bāp,mausī,buā,buā,māmā,tāū,mātā,tāū,buā,cācā,mausī
22,0.4387119877818595,1.8042585225805432,1.3655465347986837,bahan,mɔseri bahan,mameri bahan,cacera bhai,mamera bhai,caceri bahan,bhāī,caceri bahan,mameri bahan,choṭī bhan,cacera bhai,mamera bhai,mɔseri bahan,mameri bahan,cacera bhai,phuphera bhai,mɔseri bahan,cacera bhai,phupheri bahan,dīdī,mameri bahan,mamera bhai,caceri bahan,mameri bahan,phuphera bhai,phupheri bahan,mɔseri bahan,phuphera bhai,phupheri bahan,mɔsera bhai,mɔsera bhai,phupheri bahan,caceri bahan,mɔseri bahan,phuphera bhai,baṛa bhai,caceri bahan,mameri bahan,caceri bahan,mamera bhai,mamera bhai,cacera bhai,phuphera bhai,bhāī,mamera bhai,phuphera bhai,mameri bahan,caceri bahan,phuphera bhai,choṭī bhan,mɔsera bhai,mameri bahan,cacera bhai,phupheri bahan,dīdī,mamera bhai,cacera bhai,mɔsera bhai,phuphera bhai,mɔseri bahan,phupheri bahan,phupheri bahan,phupheri bahan,mɔsera bhai,mɔseri bahan,phupheri bahan,mɔseri bahan,choṭā bhāī,mɔseri bahan,mɔsera bhai,mameri bahan,mɔseri bahan,cacera bhai,cacera bhai,caceri bahan,choṭā bhāī,mɔsera bhai,phuphera bhai,mamera bhai,bahan,mɔsera bhai,mɔsera bhai,phuphera bhai,caceri bahan,mamera bhai,baṛa bhai,mameri bahan,cacera bhai,phupheri bahan,mamera bhai,buā,mausī,mausī,tāū,buā,māmā,mausī,mausī,cācā,buā,bāp,tāū,tāū,tāū,mātā,bāp,mausī,buā,mausī,cācā,mātā,māmā,māmā,māmā,māmā,buā,māmā,buā
23,0.460460140485891,1.8299939686297144,1.3695338281438234,mɔsera bhai,mɔseri bahan,dīdī,bhāī,choṭī bhan,mameri bahan,phuphera bhai,mameri bahan,mameri bahan,mɔseri bahan,cacera bhai,mɔsera bhai,mɔseri bahan,baṛa bhai,bahan,mɔsera bhai,dīdī,mamera bhai,phupheri bahan,mamera bhai,mɔseri bahan,mamera bhai,mamera bhai,caceri bahan,phupheri bahan,phupheri bahan,mameri bahan,cacera bhai,caceri bahan,cacera bhai,mameri bahan,mɔsera bhai,mɔseri bahan,caceri bahan,mɔseri bahan,phuphera bhai,mɔseri bahan,mameri bahan,mameri bahan,bhāī,caceri bahan,phupheri bahan,mamera bhai,mameri bahan,cacera bhai,choṭā bhāī,caceri bahan,caceri bahan,mamera bhai,phuphera bhai,mamera bhai,phupheri bahan,caceri bahan,mɔsera bhai,cacera bhai,bahan,mameri bahan,phuphera bhai,mɔsera bhai,cacera bhai,choṭā bhāī,phuphera bhai,phuphera bhai,mɔseri bahan,mɔseri bahan,mamera bhai,mɔsera bhai,baṛa bhai,mamera bhai,phuphera bhai,phupheri bahan,choṭī bhan,cacera bhai,phuphera bhai,phuphera bhai,caceri bahan,mameri bahan,mamera bhai,phupheri bahan,mɔsera bhai,caceri bahan,cacera bhai,cacera bhai,phupheri bahan,phupheri bahan,phupheri bahan,cacera bhai,mɔseri bahan,phuphera bhai,mɔsera bhai,mausī,māmā,mausī,māmā,māmā,tāū,buā,mausī,tāū,cācā,tāū,cācā,māmā,buā,mātā,mausī,mātā,māmā,buā,bāp,bāp,mausī,mausī,buā,buā,māmā,tāū,buā
24,0.4353504311769325,1.8326085394143814,1.397258108237449,mamera bhai,phuphera bhai,mɔsera bhai,mamera bhai,dīdī,mɔsera bhai,caceri bahan,mɔseri bahan,choṭā bhāī,bhāī,phuphera bhai,phupheri bahan,caceri bahan,mɔseri bahan,phuphera bhai,cacera bhai,phupheri bahan,mamera bhai,mɔsera bhai,mɔseri bahan,mameri bahan,cacera bhai,mameri bahan,caceri bahan,mɔsera bhai,mamera bhai,caceri bahan,mamera bhai,mɔseri bahan,mɔseri bahan,bahan,mamera bhai,mameri bahan,caceri bahan,cacera bhai,phupheri bahan,mɔseri bahan,phuphera bhai,caceri bahan,mameri bahan,mameri bahan,mɔseri bahan,phuphera bhai,mamera bhai,caceri bahan,mameri bahan,mɔseri bahan,choṭī bhan,cacera bhai,caceri bahan,bhāī,cacera bhai,choṭī bhan,phupheri bahan,phupheri bahan,mameri bahan,phupheri bahan,mɔsera bhai,phuphera bhai,mɔsera bhai,cacera bhai,mamera bhai,phuphera bhai,bahan,dīdī,phupheri bahan,caceri bahan,phuphera bhai,mameri bahan,mamera bhai,phupheri bahan,cacera bhai,cacera bhai,baṛa bhai,phupheri bahan,mɔsera bhai,cacera bhai,mɔseri bahan,cacera bhai,phuphera bhai,mameri bahan,choṭā bhāī,mɔsera bhai,phuphera bhai,mɔseri bahan,phupheri bahan,mameri bahan,mɔsera bhai,mamera bhai,baṛa bhai,tāū,māmā,buā,mausī,māmā,mausī,cācā,bāp,mātā,buā,cācā,bāp,māmā,buā,tāū,mausī,māmā,mausī,māmā,mausī,tāū,mausī,māmā,buā,tāū,mātā,buā,buā
25,0.4557474849615992,1.789445728890069,1.3336982439284697,bhāī,phupheri bahan,caceri bahan,cacera bhai,phupheri bahan,phupheri bahan,cacera bhai,choṭā bhāī,phupheri bahan,mɔseri bahan,mameri bahan,mɔseri bahan,mɔsera bhai,mameri bahan,phuphera bhai,mamera bhai,cacera bhai,phuphera bhai,bhāī,choṭī bhan,mɔsera bhai,phupheri bahan,cacera bhai,phuphera bhai,phuphera bhai,mɔseri bahan,cacera bhai,mameri bahan,mɔsera bhai,mamera bhai,mɔsera bhai,mamera bhai,cacera bhai,caceri bahan,caceri bahan,mamera bhai,phupheri bahan,mameri bahan,cacera bhai,caceri bahan,mameri bahan,caceri bahan,phupheri bahan,dīdī,mɔsera bhai,phupheri bahan,mɔseri bahan,mamera bhai,mamera bhai,mameri bahan,caceri bahan,baṛa bhai,mameri bahan,choṭā bhāī,mɔseri bahan,mɔsera bhai,mameri bahan,mɔsera bhai,mɔseri bahan,mamera bhai,mɔseri bahan,mameri bahan,mamera bhai,phuphera bhai,cacera bhai,phuphera bhai,mɔseri bahan,mɔsera bhai,phuphera bhai,cacera bhai,bahan,mɔseri bahan,phupheri bahan,cacera bhai,mɔseri bahan,phupheri bahan,mamera bhai,phuphera bhai,bahan,phuphera bhai,mɔsera bhai,choṭī bhan,caceri bahan,caceri bahan,caceri bahan,mamera bhai,mameri bahan,phuphera bhai,dīdī,baṛa bhai,māmā,mātā,buā,māmā,mausī,bāp,cācā,bāp,māmā,mausī,mausī,tāū,tāū,māmā,buā,mausī,māmā,tāū,tāū,mausī,mātā,buā,buā,buā,mausī,māmā,cācā,buā
